scenario_id,opinion_leaf,opinion_domain,opinion_leaf_label,attack_present,attack_leaf,baseline_score,post_score,delta_score,abs_delta_score,profile_id,exposure_intensity_hint,attack_realism_score,attack_coherence_score,attack_rewrite_required,attack_heuristic_pass,baseline_plausibility_score,baseline_consistency_score,baseline_rewrite_required,baseline_heuristic_pass,post_plausibility_score,post_consistency_score,post_rewrite_required,post_heuristic_pass,baseline_fallback_used,post_fallback_used,scenario_design,profile_panel_index,leaf_repeat_index_within_profile,profile_cont_age_years,profile_cont_big_five_agreeableness_altruism_pct,profile_cont_big_five_agreeableness_compliance_pct,profile_cont_big_five_agreeableness_modesty_pct,profile_cont_big_five_agreeableness_straightforwardness_pct,profile_cont_big_five_agreeableness_tender_mindedness_pct,profile_cont_big_five_agreeableness_trust_pct,profile_cont_big_five_agreeableness_mean_pct,profile_cont_big_five_conscientiousness_achievement_striving_pct,profile_cont_big_five_conscientiousness_competence_pct,profile_cont_big_five_conscientiousness_deliberation_pct,profile_cont_big_five_conscientiousness_dutifulness_pct,profile_cont_big_five_conscientiousness_order_pct,profile_cont_big_five_conscientiousness_self_discipline_pct,profile_cont_big_five_conscientiousness_mean_pct,profile_cont_big_five_extraversion_activity_level_pct,profile_cont_big_five_extraversion_assertiveness_pct,profile_cont_big_five_extraversion_excitement_seeking_pct,profile_cont_big_five_extraversion_gregariousness_pct,profile_cont_big_five_extraversion_positive_emotions_pct,profile_cont_big_five_extraversion_warmth_pct,profile_cont_big_five_extraversion_mean_pct,profile_cont_big_five_neuroticism_anger_hostility_pct,profile_cont_big_five_neuroticism_anxiety_pct,profile_cont_big_five_neuroticism_depression_pct,profile_cont_big_five_neuroticism_impulsiveness_pct,profile_cont_big_five_neuroticism_self_consciousness_pct,profile_cont_big_five_neuroticism_stress_vulnerability_pct,profile_cont_big_five_neuroticism_mean_pct,profile_cont_big_five_openness_to_experience_actions_pct,profile_cont_big_five_openness_to_experience_aesthetics_pct,profile_cont_big_five_openness_to_experience_fantasy_pct,profile_cont_big_five_openness_to_experience_feelings_pct,profile_cont_big_five_openness_to_experience_ideas_pct,profile_cont_big_five_openness_to_experience_values_pct,profile_cont_big_five_openness_to_experience_mean_pct,profile_cont_heuristic_shift_sensitivity_proxy,profile_cont_resilience_index,profile_cat__profile_cat_sex_Female,profile_cat__profile_cat_sex_Male,profile_cat__profile_cat_sex_Other,baseline_abs_score,baseline_extremity_norm,exposure_quality_score,exposure_quality_z,opinion_leaf_fe_issue_position_taxonomy___defense_and_national_security___conscription_support,opinion_leaf_fe_issue_position_taxonomy___defense_and_national_security___defense_spending_increase_support,opinion_leaf_fe_issue_position_taxonomy___defense_and_national_security___strategic_autonomy_support,primary_moderator_value,primary_moderator_z
scenario_00011,Issue_Position_Taxonomy > Defense_and_National_Security > Defense_Spending_Increase_Support,Defense_and_National_Security,Defense_Spending_Increase_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,123.0,150.0,27.0,27.0,profile_0024,0.62,0.7,0.8,False,True,0.0,0.0,True,True,0.7,0.8,False,False,False,False,profile_panel_repeated_attacked_leaves,3,3,18.0,17.319,10.72,21.327,29.796,21.141,22.046,20.391,38.594,35.562,32.3,44.192,30.506,44.097,37.542,39.985,23.913,21.137,37.226,25.67,45.776,32.285,95.453,87.961,64.27,85.081,87.55,90.682,85.166,30.009,43.898,26.657,21.698,38.075,24.073,30.735,0.7637,0.2363,1.0,0.0,0.0,123.0,0.123,0.7066666666666667,0.0666641567018712,0.0,1.0,0.0,18.0,-1.493873874844375
scenario_00012,Issue_Position_Taxonomy > Defense_and_National_Security > Strategic_Autonomy_Support,Defense_and_National_Security,Strategic_Autonomy_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,42.0,28.0,-14.0,14.0,profile_0024,0.62,0.7,0.8,False,True,0.7,0.8,False,True,0.7,0.8,False,True,False,False,profile_panel_repeated_attacked_leaves,3,4,18.0,17.319,10.72,21.327,29.796,21.141,22.046,20.391,38.594,35.562,32.3,44.192,30.506,44.097,37.542,39.985,23.913,21.137,37.226,25.67,45.776,32.285,95.453,87.961,64.27,85.081,87.55,90.682,85.166,30.009,43.898,26.657,21.698,38.075,24.073,30.735,0.7637,0.2363,1.0,0.0,0.0,42.0,0.042,0.7066666666666667,0.0666641567018712,0.0,0.0,1.0,18.0,-1.493873874844375
scenario_00013,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Defense_and_National_Security,Alliance_Commitment_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,623.0,652.0,29.0,29.0,profile_0029,0.62,0.7,0.8,False,True,0.8,0.9,False,True,0.8,0.9,False,True,False,False,profile_panel_repeated_attacked_leaves,4,1,55.0,44.651,69.642,57.509,67.215,49.796,56.639,57.575,67.514,62.916,59.691,79.437,67.02,72.194,68.129,100.0,100.0,90.498,96.085,100.0,100.0,97.764,51.345,41.646,62.568,41.139,44.842,58.945,50.081,21.848,7.605,9.069,8.084,0.0,12.641,9.874,0.4577,0.5423,0.0,0.0,1.0,623.0,0.623,0.7066666666666667,0.0666641567018712,0.0,0.0,0.0,55.0,0.7603403734933847
scenario_00014,Issue_Position_Taxonomy > Defense_and_National_Security > Conscription_Support,Defense_and_National_Security,Conscription_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,123.0,180.0,57.0,57.0,profile_0029,0.62,0.7,0.8,False,True,0.0,0.0,True,True,0.3,0.4,True,True,False,False,profile_panel_repeated_attacked_leaves,4,2,55.0,44.651,69.642,57.509,67.215,49.796,56.639,57.575,67.514,62.916,59.691,79.437,67.02,72.194,68.129,100.0,100.0,90.498,96.085,100.0,100.0,97.764,51.345,41.646,62.568,41.139,44.842,58.945,50.081,21.848,7.605,9.069,8.084,0.0,12.641,9.874,0.4577,0.5423,0.0,0.0,1.0,123.0,0.123,0.7066666666666667,0.0666641567018712,1.0,0.0,0.0,55.0,0.7603403734933847
scenario_00015,Issue_Position_Taxonomy > Defense_and_National_Security > Defense_Spending_Increase_Support,Defense_and_National_Security,Defense_Spending_Increase_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,672.0,710.0,38.0,38.0,profile_0029,0.62,0.7,0.8,False,True,0.8,0.9,False,True,0.8,0.9,False,True,False,False,profile_panel_repeated_attacked_leaves,4,3,55.0,44.651,69.642,57.509,67.215,49.796,56.639,57.575,67.514,62.916,59.691,79.437,67.02,72.194,68.129,100.0,100.0,90.498,96.085,100.0,100.0,97.764,51.345,41.646,62.568,41.139,44.842,58.945,50.081,21.848,7.605,9.069,8.084,0.0,12.641,9.874,0.4577,0.5423,0.0,0.0,1.0,672.0,0.672,0.7066666666666667,0.0666641567018712,0.0,1.0,0.0,55.0,0.7603403734933847
scenario_00016,Issue_Position_Taxonomy > Defense_and_National_Security > Strategic_Autonomy_Support,Defense_and_National_Security,Strategic_Autonomy_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,723.0,765.0,42.0,42.0,profile_0029,0.62,0.7,0.8,False,True,0.8,0.7,False,True,0.8,0.9,False,True,False,False,profile_panel_repeated_attacked_leaves,4,4,55.0,44.651,69.642,57.509,67.215,49.796,56.639,57.575,67.514,62.916,59.691,79.437,67.02,72.194,68.129,100.0,100.0,90.498,96.085,100.0,100.0,97.764,51.345,41.646,62.568,41.139,44.842,58.945,50.081,21.848,7.605,9.069,8.084,0.0,12.641,9.874,0.4577,0.5423,0.0,0.0,1.0,723.0,0.723,0.7066666666666667,0.0666641567018712,0.0,0.0,1.0,55.0,0.7603403734933847
scenario_00017,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Defense_and_National_Security,Alliance_Commitment_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,678.0,720.0,42.0,42.0,profile_0035,0.62,0.7,0.8,False,True,0.8,0.7,False,True,0.8,0.9,False,True,False,False,profile_panel_repeated_attacked_leaves,5,1,40.0,34.179,31.768,2.199,16.693,29.258,33.497,24.599,30.02,20.435,15.734,29.252,23.713,34.599,25.625,57.116,56.685,52.229,53.524,58.459,65.353,57.228,27.461,26.868,26.102,27.349,34.008,18.79,26.763,78.547,62.399,74.778,85.184,64.172,72.449,72.922,0.4334,0.5666,0.0,1.0,0.0,678.0,0.678,0.7066666666666667,0.0666641567018712,0.0,0.0,0.0,40.0,-0.1535302677246259
scenario_00018,Issue_Position_Taxonomy > Defense_and_National_Security > Conscription_Support,Defense_and_National_Security,Conscription_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,42.0,74.0,32.0,32.0,profile_0035,0.62,0.7,0.8,False,True,0.7,0.8,False,True,0.8,0.7,False,True,False,False,profile_panel_repeated_attacked_leaves,5,2,40.0,34.179,31.768,2.199,16.693,29.258,33.497,24.599,30.02,20.435,15.734,29.252,23.713,34.599,25.625,57.116,56.685,52.229,53.524,58.459,65.353,57.228,27.461,26.868,26.102,27.349,34.008,18.79,26.763,78.547,62.399,74.778,85.184,64.172,72.449,72.922,0.4334,0.5666,0.0,1.0,0.0,42.0,0.042,0.7066666666666667,0.0666641567018712,1.0,0.0,0.0,40.0,-0.1535302677246259
scenario_00019,Issue_Position_Taxonomy > Defense_and_National_Security > Defense_Spending_Increase_Support,Defense_and_National_Security,Defense_Spending_Increase_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,472.0,520.0,48.0,48.0,profile_0035,0.62,0.7,0.8,False,True,0.8,0.8,False,True,0.8,0.7,False,True,False,False,profile_panel_repeated_attacked_leaves,5,3,40.0,34.179,31.768,2.199,16.693,29.258,33.497,24.599,30.02,20.435,15.734,29.252,23.713,34.599,25.625,57.116,56.685,52.229,53.524,58.459,65.353,57.228,27.461,26.868,26.102,27.349,34.008,18.79,26.763,78.547,62.399,74.778,85.184,64.172,72.449,72.922,0.4334,0.5666,0.0,1.0,0.0,472.0,0.472,0.7066666666666667,0.0666641567018712,0.0,1.0,0.0,40.0,-0.1535302677246259
scenario_00020,Issue_Position_Taxonomy > Defense_and_National_Security > Strategic_Autonomy_Support,Defense_and_National_Security,Strategic_Autonomy_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,623.0,675.0,52.0,52.0,profile_0035,0.62,0.7,0.8,False,True,0.8,0.9,False,True,0.8,0.9,False,True,False,False,profile_panel_repeated_attacked_leaves,5,4,40.0,34.179,31.768,2.199,16.693,29.258,33.497,24.599,30.02,20.435,15.734,29.252,23.713,34.599,25.625,57.116,56.685,52.229,53.524,58.459,65.353,57.228,27.461,26.868,26.102,27.349,34.008,18.79,26.763,78.547,62.399,74.778,85.184,64.172,72.449,72.922,0.4334,0.5666,0.0,1.0,0.0,623.0,0.623,0.7066666666666667,0.0666641567018712,0.0,0.0,1.0,40.0,-0.1535302677246259
scenario_00021,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Defense_and_National_Security,Alliance_Commitment_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,450.0,490.0,40.0,40.0,profile_0036,0.62,0.7,0.8,False,True,0.7,0.6,False,False,0.8,0.9,False,True,False,False,profile_panel_repeated_attacked_leaves,6,1,61.0,75.323,77.957,60.235,84.264,90.849,75.19,77.303,0.0,8.201,3.806,11.681,12.514,0.0,6.034,19.753,31.142,37.0,34.662,15.516,18.891,26.161,72.29,60.946,42.085,57.216,57.066,65.984,59.264,12.99,16.31,26.479,0.0,20.396,20.668,16.14,0.633,0.367,0.0,0.0,1.0,450.0,0.45,0.7066666666666667,0.0666641567018712,0.0,0.0,0.0,61.0,1.1258886299805888
scenario_00022,Issue_Position_Taxonomy > Defense_and_National_Security > Conscription_Support,Defense_and_National_Security,Conscription_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,-321.0,-280.0,41.0,41.0,profile_0036,0.62,0.7,0.8,False,False,0.0,0.0,True,True,0.8,0.9,False,True,False,False,profile_panel_repeated_attacked_leaves,6,2,61.0,75.323,77.957,60.235,84.264,90.849,75.19,77.303,0.0,8.201,3.806,11.681,12.514,0.0,6.034,19.753,31.142,37.0,34.662,15.516,18.891,26.161,72.29,60.946,42.085,57.216,57.066,65.984,59.264,12.99,16.31,26.479,0.0,20.396,20.668,16.14,0.633,0.367,0.0,0.0,1.0,321.0,0.321,0.7066666666666667,0.0666641567018712,1.0,0.0,0.0,61.0,1.1258886299805888
scenario_00023,Issue_Position_Taxonomy > Defense_and_National_Security > Defense_Spending_Increase_Support,Defense_and_National_Security,Defense_Spending_Increase_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,217.0,263.0,46.0,46.0,profile_0036,0.62,0.7,0.8,False,True,0.0,0.0,True,True,0.7,0.8,False,True,False,False,profile_panel_repeated_attacked_leaves,6,3,61.0,75.323,77.957,60.235,84.264,90.849,75.19,77.303,0.0,8.201,3.806,11.681,12.514,0.0,6.034,19.753,31.142,37.0,34.662,15.516,18.891,26.161,72.29,60.946,42.085,57.216,57.066,65.984,59.264,12.99,16.31,26.479,0.0,20.396,20.668,16.14,0.633,0.367,0.0,0.0,1.0,217.0,0.217,0.7066666666666667,0.0666641567018712,0.0,1.0,0.0,61.0,1.1258886299805888
scenario_00024,Issue_Position_Taxonomy > Defense_and_National_Security > Strategic_Autonomy_Support,Defense_and_National_Security,Strategic_Autonomy_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,472.0,523.0,51.0,51.0,profile_0036,0.62,0.7,0.8,False,True,0.8,0.7,False,True,0.8,0.7,False,True,False,False,profile_panel_repeated_attacked_leaves,6,4,61.0,75.323,77.957,60.235,84.264,90.849,75.19,77.303,0.0,8.201,3.806,11.681,12.514,0.0,6.034,19.753,31.142,37.0,34.662,15.516,18.891,26.161,72.29,60.946,42.085,57.216,57.066,65.984,59.264,12.99,16.31,26.479,0.0,20.396,20.668,16.14,0.633,0.367,0.0,0.0,1.0,472.0,0.472,0.7066666666666667,0.0666641567018712,0.0,0.0,1.0,61.0,1.1258886299805888
scenario_00025,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Defense_and_National_Security,Alliance_Commitment_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,450.0,480.0,30.0,30.0,profile_0039,0.62,0.7,0.8,False,True,0.7,0.6,False,False,0.8,0.9,False,True,False,False,profile_panel_repeated_attacked_leaves,7,1,64.0,79.413,66.989,65.918,65.119,75.84,53.049,67.721,57.199,65.249,53.837,54.224,69.865,51.762,58.689,40.015,41.671,35.911,47.725,41.087,39.155,40.927,54.114,66.404,73.831,54.99,51.695,76.206,62.873,61.665,33.04,39.654,29.362,49.556,47.074,43.392,0.4828,0.5172,0.0,0.0,1.0,450.0,0.45,0.7066666666666667,0.0666641567018712,0.0,0.0,0.0,64.0,1.308662758224191
scenario_00026,Issue_Position_Taxonomy > Defense_and_National_Security > Conscription_Support,Defense_and_National_Security,Conscription_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,-487.0,-450.0,37.0,37.0,profile_0039,0.62,0.7,0.8,False,True,0.8,0.7,False,True,0.8,0.7,False,False,False,False,profile_panel_repeated_attacked_leaves,7,2,64.0,79.413,66.989,65.918,65.119,75.84,53.049,67.721,57.199,65.249,53.837,54.224,69.865,51.762,58.689,40.015,41.671,35.911,47.725,41.087,39.155,40.927,54.114,66.404,73.831,54.99,51.695,76.206,62.873,61.665,33.04,39.654,29.362,49.556,47.074,43.392,0.4828,0.5172,0.0,0.0,1.0,487.0,0.487,0.7066666666666667,0.0666641567018712,1.0,0.0,0.0,64.0,1.308662758224191
scenario_00027,Issue_Position_Taxonomy > Defense_and_National_Security > Defense_Spending_Increase_Support,Defense_and_National_Security,Defense_Spending_Increase_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,215.0,280.0,65.0,65.0,profile_0039,0.65,0.7,0.8,False,True,0.7,0.8,False,True,0.8,0.7,False,True,False,False,profile_panel_repeated_attacked_leaves,7,3,64.0,79.413,66.989,65.918,65.119,75.84,53.049,67.721,57.199,65.249,53.837,54.224,69.865,51.762,58.689,40.015,41.671,35.911,47.725,41.087,39.155,40.927,54.114,66.404,73.831,54.99,51.695,76.206,62.873,61.665,33.04,39.654,29.362,49.556,47.074,43.392,0.4828,0.5172,0.0,0.0,1.0,215.0,0.215,0.7166666666666668,0.2598935964174452,0.0,1.0,0.0,64.0,1.308662758224191
