scenario_id,opinion_leaf,opinion_domain,opinion_leaf_label,attack_present,attack_leaf,baseline_score,post_score,delta_score,profile_id,exposure_intensity_hint,attack_realism_score,attack_coherence_score,attack_rewrite_required,attack_heuristic_pass,baseline_plausibility_score,baseline_consistency_score,baseline_rewrite_required,baseline_heuristic_pass,post_plausibility_score,post_consistency_score,post_rewrite_required,post_heuristic_pass,baseline_fallback_used,post_fallback_used,profile_cont_age_years,profile_cont_big_five_agreeableness_altruism_pct,profile_cont_big_five_agreeableness_compliance_pct,profile_cont_big_five_agreeableness_modesty_pct,profile_cont_big_five_agreeableness_straightforwardness_pct,profile_cont_big_five_agreeableness_tender_mindedness_pct,profile_cont_big_five_agreeableness_trust_pct,profile_cont_big_five_agreeableness_mean_pct,profile_cont_big_five_conscientiousness_achievement_striving_pct,profile_cont_big_five_conscientiousness_competence_pct,profile_cont_big_five_conscientiousness_deliberation_pct,profile_cont_big_five_conscientiousness_dutifulness_pct,profile_cont_big_five_conscientiousness_order_pct,profile_cont_big_five_conscientiousness_self_discipline_pct,profile_cont_big_five_conscientiousness_mean_pct,profile_cont_big_five_extraversion_activity_level_pct,profile_cont_big_five_extraversion_assertiveness_pct,profile_cont_big_five_extraversion_excitement_seeking_pct,profile_cont_big_five_extraversion_gregariousness_pct,profile_cont_big_five_extraversion_positive_emotions_pct,profile_cont_big_five_extraversion_warmth_pct,profile_cont_big_five_extraversion_mean_pct,profile_cont_big_five_neuroticism_anger_hostility_pct,profile_cont_big_five_neuroticism_anxiety_pct,profile_cont_big_five_neuroticism_depression_pct,profile_cont_big_five_neuroticism_impulsiveness_pct,profile_cont_big_five_neuroticism_self_consciousness_pct,profile_cont_big_five_neuroticism_stress_vulnerability_pct,profile_cont_big_five_neuroticism_mean_pct,profile_cont_big_five_openness_to_experience_actions_pct,profile_cont_big_five_openness_to_experience_aesthetics_pct,profile_cont_big_five_openness_to_experience_fantasy_pct,profile_cont_big_five_openness_to_experience_feelings_pct,profile_cont_big_five_openness_to_experience_ideas_pct,profile_cont_big_five_openness_to_experience_values_pct,profile_cont_big_five_openness_to_experience_mean_pct,profile_cont_susceptibility_index,profile_cont_resilience_index,profile_cat__profile_cat_sex_Female,profile_cat__profile_cat_sex_Male,profile_cat__profile_cat_sex_Other,baseline_abs_score,exposure_quality_score,exposure_quality_z,opinion_leaf_fe_issue_position_taxonomy___defense_and_national_security___conscription_support,opinion_leaf_fe_issue_position_taxonomy___defense_and_national_security___defense_spending_increase_support,opinion_leaf_fe_issue_position_taxonomy___defense_and_national_security___strategic_autonomy_support,primary_moderator_value,primary_moderator_z,attack_x_primary_moderator,moderator_z,attack_x_moderator
scenario_0011,Issue_Position_Taxonomy > Defense_and_National_Security > Defense_Spending_Increase_Support,Defense_and_National_Security,Defense_Spending_Increase_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,187.0,234.0,47.0,profile_candidate_0026,0.62,0.7,0.8,False,True,0.7,0.8,False,True,0.8,0.7,False,True,False,False,55.0,19.871,22.798,33.046,34.798,28.575,53.248,32.056,38.376,42.437,76.353,45.182,58.29,64.987,54.271,39.624,24.39,28.289,27.537,26.837,28.154,29.139,53.82,55.021,76.669,61.958,53.149,59.97,60.098,51.666,62.11,56.634,53.582,42.03,54.376,53.4,0.4939,0.5061,1.0,0.0,0.0,187.0,0.7066666666666667,-0.0167258799141941,0.0,1.0,0.0,0.4939,0.1496479900341579,0.1496479900341579,0.1496479900341579,0.1496479900341579
scenario_0012,Issue_Position_Taxonomy > Defense_and_National_Security > Strategic_Autonomy_Support,Defense_and_National_Security,Strategic_Autonomy_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,723.0,752.0,29.0,profile_candidate_0027,0.62,0.7,0.8,False,True,0.7,0.6,True,True,0.8,0.9,False,True,False,False,38.0,67.66,57.788,51.582,68.558,73.0,60.975,63.261,36.298,19.486,21.545,38.834,30.644,25.677,28.747,89.116,100.0,84.778,91.503,97.092,88.778,91.878,37.196,30.143,38.416,50.778,51.256,32.223,40.002,57.559,50.724,71.36,48.002,57.616,61.978,57.873,0.5053,0.4947,0.0,0.0,1.0,723.0,0.7066666666666667,-0.0167258799141941,0.0,0.0,1.0,0.5053,0.2369330801538505,0.2369330801538505,0.2369330801538505,0.2369330801538505
scenario_0013,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Defense_and_National_Security,Alliance_Commitment_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,67.0,52.0,-15.0,profile_candidate_0050,0.62,0.7,0.8,False,True,0.8,0.8,False,True,0.8,0.8,False,True,False,False,57.0,69.165,73.818,84.279,66.495,64.664,67.586,71.001,48.429,49.274,54.104,53.643,62.135,53.611,53.533,31.429,25.478,44.712,47.39,45.877,20.185,35.845,53.153,55.214,63.146,60.375,69.074,66.152,61.186,40.234,30.746,29.804,27.134,22.952,49.817,33.448,0.5156,0.4844,0.0,0.0,1.0,67.0,0.7066666666666667,-0.0167258799141941,0.0,0.0,0.0,0.5156,0.3157959247356781,0.3157959247356781,0.3157959247356781,0.3157959247356781
scenario_0014,Issue_Position_Taxonomy > Defense_and_National_Security > Conscription_Support,Defense_and_National_Security,Conscription_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,-423.0,-387.0,36.0,profile_candidate_0079,0.62,0.7,0.8,False,True,0.0,0.0,True,True,0.8,0.9,False,True,False,False,40.0,17.834,23.479,17.21,26.064,23.581,36.885,24.176,9.915,31.548,10.237,27.703,21.363,18.545,19.885,80.574,86.356,100.0,81.281,94.213,71.856,85.713,38.044,43.493,31.101,35.46,35.392,42.567,37.676,4.916,39.956,26.038,41.34,29.183,28.124,28.26,0.5416,0.4584,0.0,0.0,1.0,423.0,0.7066666666666667,-0.0167258799141941,1.0,0.0,0.0,0.5416,0.5148671829033988,0.5148671829033988,0.5148671829033988,0.5148671829033988
scenario_0015,Issue_Position_Taxonomy > Defense_and_National_Security > Defense_Spending_Increase_Support,Defense_and_National_Security,Defense_Spending_Increase_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,42.0,68.0,26.0,profile_candidate_0024,0.62,0.7,0.8,False,False,0.7,0.6,False,True,0.8,0.7,False,True,False,False,45.0,80.454,69.831,67.248,58.763,85.183,76.039,72.92,34.857,25.263,26.066,11.385,28.454,19.973,24.333,23.848,36.363,36.17,23.891,37.638,40.301,33.035,30.079,41.5,37.816,53.665,37.342,42.997,40.567,24.706,24.068,22.302,5.371,16.189,2.092,15.788,0.5434,0.4566,1.0,0.0,0.0,42.0,0.7066666666666667,-0.0167258799141941,0.0,1.0,0.0,0.5434,0.5286490392380874,0.5286490392380874,0.5286490392380874,0.5286490392380874
scenario_0016,Issue_Position_Taxonomy > Defense_and_National_Security > Strategic_Autonomy_Support,Defense_and_National_Security,Strategic_Autonomy_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,687.0,723.0,36.0,profile_candidate_0009,0.65,0.7,0.8,False,True,0.8,0.8,False,True,0.8,0.9,False,True,False,False,44.0,50.819,57.709,55.488,51.275,58.466,58.066,55.304,88.637,67.341,84.573,75.858,82.519,85.531,80.743,73.052,56.286,65.844,59.156,70.488,66.047,65.145,84.073,79.787,77.435,85.777,99.279,79.559,84.318,52.059,40.728,34.348,51.593,39.925,38.173,42.805,0.5748,0.4252,1.0,0.0,0.0,687.0,0.7166666666666668,0.3177917183696561,0.0,0.0,1.0,0.5748,0.7690658664098728,0.7690658664098728,0.7690658664098728,0.7690658664098728
scenario_0017,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Defense_and_National_Security,Alliance_Commitment_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,37.0,18.0,-19.0,profile_candidate_0029,0.62,0.7,0.8,False,True,0.7,0.8,False,True,0.0,0.0,True,True,False,False,18.0,24.912,41.557,32.57,41.874,28.142,33.357,33.735,14.181,21.052,6.317,10.268,18.318,2.231,12.061,9.292,10.889,9.16,15.237,17.997,0.0,10.429,30.641,39.396,39.415,31.335,38.841,29.972,34.934,26.499,27.921,27.39,37.427,30.502,55.151,34.148,0.5979,0.4021,0.0,1.0,0.0,37.0,0.7066666666666667,-0.0167258799141941,0.0,0.0,0.0,0.5979,0.94593302270504,0.94593302270504,0.94593302270504,0.94593302270504
scenario_0018,Issue_Position_Taxonomy > Defense_and_National_Security > Conscription_Support,Defense_and_National_Security,Conscription_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,-487.0,-420.0,67.0,profile_candidate_0025,0.62,0.7,0.8,False,True,0.8,0.9,False,True,0.0,0.0,True,True,False,False,41.0,97.547,85.6,100.0,93.797,100.0,90.099,94.507,22.827,25.811,26.659,20.312,32.202,19.006,24.47,77.893,70.157,97.13,84.104,84.835,89.18,83.883,71.236,92.034,69.577,66.974,67.26,79.255,74.389,72.235,58.356,90.465,81.553,65.836,62.048,71.749,0.6493,0.3507,1.0,0.0,0.0,487.0,0.7066666666666667,-0.0167258799141941,1.0,0.0,0.0,0.6493,1.3394815869289185,1.3394815869289185,1.3394815869289185,1.3394815869289185
scenario_0019,Issue_Position_Taxonomy > Defense_and_National_Security > Defense_Spending_Increase_Support,Defense_and_National_Security,Defense_Spending_Increase_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,123.0,150.0,27.0,profile_candidate_0069,0.62,0.7,0.8,False,True,0.0,0.0,True,True,0.7,0.6,False,False,False,False,25.0,61.392,52.807,60.021,46.936,66.805,49.568,56.255,20.514,28.339,16.709,5.568,20.909,21.985,19.004,37.309,44.29,43.901,26.836,52.862,43.669,41.478,63.718,78.2,42.441,41.757,57.566,45.872,54.925,22.302,24.06,15.136,18.696,9.509,23.487,18.865,0.6683,0.3317,1.0,0.0,0.0,123.0,0.7066666666666667,-0.0167258799141941,0.0,1.0,0.0,0.6683,1.4849567371284067,1.4849567371284067,1.4849567371284067,1.4849567371284067
scenario_0020,Issue_Position_Taxonomy > Defense_and_National_Security > Strategic_Autonomy_Support,Defense_and_National_Security,Strategic_Autonomy_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,37.0,52.0,15.0,profile_candidate_0051,0.62,0.7,0.8,False,True,0.7,0.8,False,True,0.8,0.7,False,True,False,False,19.0,43.607,40.125,32.682,48.432,39.79,44.986,41.604,12.09,4.841,5.748,10.02,16.017,20.711,11.571,24.989,29.134,34.516,30.135,27.056,37.669,30.583,68.587,64.62,72.039,71.702,64.346,65.252,67.758,62.631,68.11,82.391,73.467,63.193,77.257,71.175,0.7073,0.2927,0.0,1.0,0.0,37.0,0.7066666666666667,-0.0167258799141941,0.0,0.0,1.0,0.7073,1.7835636243799875,1.7835636243799875,1.7835636243799875,1.7835636243799875
