scenario_id,opinion_leaf,opinion_domain,opinion_leaf_label,attack_present,attack_leaf,baseline_score,post_score,delta_score,abs_delta_score,adversarial_effectivity,adversarial_direction,profile_id,exposure_intensity_hint,attack_realism_score,attack_coherence_score,attack_rewrite_required,attack_heuristic_pass,baseline_plausibility_score,baseline_consistency_score,baseline_rewrite_required,baseline_heuristic_pass,post_plausibility_score,post_consistency_score,post_rewrite_required,post_heuristic_pass,baseline_fallback_used,post_fallback_used,scenario_design,profile_panel_index,leaf_repeat_index_within_profile,profile_cont_age_years,profile_cont_big_five_agreeableness_altruism_pct,profile_cont_big_five_agreeableness_compliance_pct,profile_cont_big_five_agreeableness_modesty_pct,profile_cont_big_five_agreeableness_straightforwardness_pct,profile_cont_big_five_agreeableness_tender_mindedness_pct,profile_cont_big_five_agreeableness_trust_pct,profile_cont_big_five_agreeableness_mean_pct,profile_cont_big_five_conscientiousness_achievement_striving_pct,profile_cont_big_five_conscientiousness_competence_pct,profile_cont_big_five_conscientiousness_deliberation_pct,profile_cont_big_five_conscientiousness_dutifulness_pct,profile_cont_big_five_conscientiousness_order_pct,profile_cont_big_five_conscientiousness_self_discipline_pct,profile_cont_big_five_conscientiousness_mean_pct,profile_cont_big_five_extraversion_activity_level_pct,profile_cont_big_five_extraversion_assertiveness_pct,profile_cont_big_five_extraversion_excitement_seeking_pct,profile_cont_big_five_extraversion_gregariousness_pct,profile_cont_big_five_extraversion_positive_emotions_pct,profile_cont_big_five_extraversion_warmth_pct,profile_cont_big_five_extraversion_mean_pct,profile_cont_big_five_neuroticism_anger_hostility_pct,profile_cont_big_five_neuroticism_anxiety_pct,profile_cont_big_five_neuroticism_depression_pct,profile_cont_big_five_neuroticism_impulsiveness_pct,profile_cont_big_five_neuroticism_self_consciousness_pct,profile_cont_big_five_neuroticism_stress_vulnerability_pct,profile_cont_big_five_neuroticism_mean_pct,profile_cont_big_five_openness_to_experience_actions_pct,profile_cont_big_five_openness_to_experience_aesthetics_pct,profile_cont_big_five_openness_to_experience_fantasy_pct,profile_cont_big_five_openness_to_experience_feelings_pct,profile_cont_big_five_openness_to_experience_ideas_pct,profile_cont_big_five_openness_to_experience_values_pct,profile_cont_big_five_openness_to_experience_mean_pct,profile_cont_heuristic_shift_sensitivity_proxy,profile_cont_resilience_index,profile_cat__profile_cat_sex_Female,profile_cat__profile_cat_sex_Male,profile_cat__profile_cat_sex_Other,baseline_abs_score,baseline_extremity_norm,exposure_quality_score,exposure_quality_z,opinion_leaf_fe_issue_position_taxonomy___defense_and_national_security___civil_defense_preparedness_support,opinion_leaf_fe_issue_position_taxonomy___defense_and_national_security___domestic_security_powers_expansion_support,opinion_leaf_fe_issue_position_taxonomy___defense_and_national_security___strategic_autonomy_support,primary_moderator_value,primary_moderator_z
scenario_00011,Issue_Position_Taxonomy > Defense_and_National_Security > Domestic_Security_Powers_Expansion_Support,Defense_and_National_Security,Domestic_Security_Powers_Expansion_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,217.0,269.0,52.0,52.0,-52.0,-1,profile_0017,0.62,0.7,0.8,False,True,0.0,0.0,True,True,0.7,0.6,False,True,False,False,profile_panel_repeated_attacked_leaves,3,3,26.0,33.78,13.685,16.541,9.038,8.282,0.69,13.669,30.409,9.972,20.462,9.306,33.539,15.817,19.917,16.711,32.113,17.78,20.791,19.815,26.586,22.299,43.189,47.465,40.9,44.057,44.701,52.604,45.486,36.52,42.459,47.377,47.851,30.622,28.303,38.855,0.601,0.399,0.0,0.0,1.0,217.0,0.217,0.7066666666666667,-0.2415608205330089,0.0,1.0,0.0,26.0,-0.9990944866321136
scenario_00012,Issue_Position_Taxonomy > Defense_and_National_Security > Strategic_Autonomy_Support,Defense_and_National_Security,Strategic_Autonomy_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,214.0,287.0,73.0,73.0,73.0,1,profile_0017,0.62,0.7,0.8,False,True,0.7,0.8,False,True,0.7,0.6,False,True,False,False,profile_panel_repeated_attacked_leaves,3,4,26.0,33.78,13.685,16.541,9.038,8.282,0.69,13.669,30.409,9.972,20.462,9.306,33.539,15.817,19.917,16.711,32.113,17.78,20.791,19.815,26.586,22.299,43.189,47.465,40.9,44.057,44.701,52.604,45.486,36.52,42.459,47.377,47.851,30.622,28.303,38.855,0.601,0.399,0.0,0.0,1.0,214.0,0.214,0.7066666666666667,-0.2415608205330089,0.0,0.0,1.0,26.0,-0.9990944866321136
scenario_00013,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Defense_and_National_Security,Alliance_Commitment_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,350.0,280.0,-70.0,70.0,70.0,-1,profile_0023,0.62,0.7,0.8,False,True,0.7,0.6,True,False,0.8,0.8,False,True,False,False,profile_panel_repeated_attacked_leaves,4,1,26.0,53.913,65.765,62.84,72.981,62.118,64.533,63.692,46.606,36.623,37.615,57.371,49.336,42.339,44.982,15.417,23.616,6.65,21.2,2.727,7.711,12.887,53.198,42.945,42.348,38.692,61.117,42.496,46.799,84.157,79.021,85.16,80.995,67.979,88.93,81.041,0.5021,0.4979,1.0,0.0,0.0,350.0,0.35,0.7066666666666667,-0.2415608205330089,0.0,0.0,0.0,26.0,-0.9990944866321136
scenario_00014,Issue_Position_Taxonomy > Defense_and_National_Security > Civil_Defense_Preparedness_Support,Defense_and_National_Security,Civil_Defense_Preparedness_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,320.0,380.0,60.0,60.0,-60.0,-1,profile_0023,0.62,0.7,0.6,True,True,0.8,0.7,False,True,0.8,0.9,False,True,False,False,profile_panel_repeated_attacked_leaves,4,2,26.0,53.913,65.765,62.84,72.981,62.118,64.533,63.692,46.606,36.623,37.615,57.371,49.336,42.339,44.982,15.417,23.616,6.65,21.2,2.727,7.711,12.887,53.198,42.945,42.348,38.692,61.117,42.496,46.799,84.157,79.021,85.16,80.995,67.979,88.93,81.041,0.5021,0.4979,1.0,0.0,0.0,320.0,0.32,0.64,-2.032558563131787,1.0,0.0,0.0,26.0,-0.9990944866321136
scenario_00015,Issue_Position_Taxonomy > Defense_and_National_Security > Domestic_Security_Powers_Expansion_Support,Defense_and_National_Security,Domestic_Security_Powers_Expansion_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,123.0,160.0,37.0,37.0,-37.0,-1,profile_0023,0.65,0.7,0.8,False,True,0.0,0.0,True,True,0.8,0.7,False,True,False,False,profile_panel_repeated_attacked_leaves,4,3,26.0,53.913,65.765,62.84,72.981,62.118,64.533,63.692,46.606,36.623,37.615,57.371,49.336,42.339,44.982,15.417,23.616,6.65,21.2,2.727,7.711,12.887,53.198,42.945,42.348,38.692,61.117,42.496,46.799,84.157,79.021,85.16,80.995,67.979,88.93,81.041,0.5021,0.4979,1.0,0.0,0.0,123.0,0.123,0.7166666666666668,0.0270888408568109,0.0,1.0,0.0,26.0,-0.9990944866321136
scenario_00016,Issue_Position_Taxonomy > Defense_and_National_Security > Strategic_Autonomy_Support,Defense_and_National_Security,Strategic_Autonomy_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,623.0,665.0,42.0,42.0,42.0,1,profile_0023,0.62,0.7,0.8,False,True,0.8,0.7,False,True,0.8,0.9,False,True,False,False,profile_panel_repeated_attacked_leaves,4,4,26.0,53.913,65.765,62.84,72.981,62.118,64.533,63.692,46.606,36.623,37.615,57.371,49.336,42.339,44.982,15.417,23.616,6.65,21.2,2.727,7.711,12.887,53.198,42.945,42.348,38.692,61.117,42.496,46.799,84.157,79.021,85.16,80.995,67.979,88.93,81.041,0.5021,0.4979,1.0,0.0,0.0,623.0,0.623,0.7066666666666667,-0.2415608205330089,0.0,0.0,1.0,26.0,-0.9990944866321136
scenario_00017,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Defense_and_National_Security,Alliance_Commitment_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,450.0,410.0,-40.0,40.0,40.0,-1,profile_0026,0.62,0.8,0.9,False,True,0.7,0.6,False,False,0.8,0.9,False,True,False,False,profile_panel_repeated_attacked_leaves,5,1,56.0,76.049,100.0,87.71,90.188,96.257,70.19,86.732,70.887,56.379,58.7,79.24,50.49,76.633,65.388,52.388,48.037,68.532,68.618,56.221,47.921,56.953,74.63,47.013,85.113,72.845,67.746,77.892,70.873,39.987,26.807,4.199,4.071,24.66,17.561,19.547,0.5459,0.4541,1.0,0.0,0.0,450.0,0.45,0.7733333333333333,1.5494369220657689,0.0,0.0,0.0,56.0,0.8824393864980439
scenario_00018,Issue_Position_Taxonomy > Defense_and_National_Security > Civil_Defense_Preparedness_Support,Defense_and_National_Security,Civil_Defense_Preparedness_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,450.0,510.0,60.0,60.0,-60.0,-1,profile_0026,0.62,0.7,0.8,False,True,0.7,0.6,False,False,0.8,0.9,False,True,False,False,profile_panel_repeated_attacked_leaves,5,2,56.0,76.049,100.0,87.71,90.188,96.257,70.19,86.732,70.887,56.379,58.7,79.24,50.49,76.633,65.388,52.388,48.037,68.532,68.618,56.221,47.921,56.953,74.63,47.013,85.113,72.845,67.746,77.892,70.873,39.987,26.807,4.199,4.071,24.66,17.561,19.547,0.5459,0.4541,1.0,0.0,0.0,450.0,0.45,0.7066666666666667,-0.2415608205330089,1.0,0.0,0.0,56.0,0.8824393864980439
scenario_00019,Issue_Position_Taxonomy > Defense_and_National_Security > Domestic_Security_Powers_Expansion_Support,Defense_and_National_Security,Domestic_Security_Powers_Expansion_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,42.0,68.0,26.0,26.0,-26.0,-1,profile_0026,0.62,0.8,0.9,False,True,0.7,0.8,False,True,0.0,0.0,True,True,False,False,profile_panel_repeated_attacked_leaves,5,3,56.0,76.049,100.0,87.71,90.188,96.257,70.19,86.732,70.887,56.379,58.7,79.24,50.49,76.633,65.388,52.388,48.037,68.532,68.618,56.221,47.921,56.953,74.63,47.013,85.113,72.845,67.746,77.892,70.873,39.987,26.807,4.199,4.071,24.66,17.561,19.547,0.5459,0.4541,1.0,0.0,0.0,42.0,0.042,0.7733333333333333,1.5494369220657689,0.0,1.0,0.0,56.0,0.8824393864980439
scenario_00020,Issue_Position_Taxonomy > Defense_and_National_Security > Strategic_Autonomy_Support,Defense_and_National_Security,Strategic_Autonomy_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,327.0,284.0,-43.0,43.0,-43.0,1,profile_0026,0.62,0.7,0.8,False,True,0.8,0.7,False,True,0.8,0.7,False,True,False,False,profile_panel_repeated_attacked_leaves,5,4,56.0,76.049,100.0,87.71,90.188,96.257,70.19,86.732,70.887,56.379,58.7,79.24,50.49,76.633,65.388,52.388,48.037,68.532,68.618,56.221,47.921,56.953,74.63,47.013,85.113,72.845,67.746,77.892,70.873,39.987,26.807,4.199,4.071,24.66,17.561,19.547,0.5459,0.4541,1.0,0.0,0.0,327.0,0.327,0.7066666666666667,-0.2415608205330089,0.0,0.0,1.0,56.0,0.8824393864980439
scenario_00021,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Defense_and_National_Security,Alliance_Commitment_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,250.0,180.0,-70.0,70.0,70.0,-1,profile_0036,0.62,0.7,0.8,False,True,0.7,0.6,True,False,0.0,0.0,True,True,False,False,profile_panel_repeated_attacked_leaves,6,1,21.0,85.79,75.422,86.306,88.3,70.652,68.319,79.131,42.575,44.604,42.072,40.895,42.587,32.365,40.85,34.591,34.325,41.892,48.91,36.439,34.882,38.507,86.03,99.746,100.0,98.239,86.757,78.724,91.583,17.339,26.231,4.034,5.665,15.552,26.655,15.913,0.7916,0.2084,1.0,0.0,0.0,250.0,0.25,0.7066666666666667,-0.2415608205330089,0.0,0.0,0.0,21.0,-1.31268346548714
scenario_00022,Issue_Position_Taxonomy > Defense_and_National_Security > Civil_Defense_Preparedness_Support,Defense_and_National_Security,Civil_Defense_Preparedness_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,217.0,248.0,31.0,31.0,-31.0,-1,profile_0036,0.62,0.7,0.8,False,True,0.0,0.0,True,True,0.8,0.9,False,True,False,False,profile_panel_repeated_attacked_leaves,6,2,21.0,85.79,75.422,86.306,88.3,70.652,68.319,79.131,42.575,44.604,42.072,40.895,42.587,32.365,40.85,34.591,34.325,41.892,48.91,36.439,34.882,38.507,86.03,99.746,100.0,98.239,86.757,78.724,91.583,17.339,26.231,4.034,5.665,15.552,26.655,15.913,0.7916,0.2084,1.0,0.0,0.0,217.0,0.217,0.7066666666666667,-0.2415608205330089,1.0,0.0,0.0,21.0,-1.31268346548714
scenario_00023,Issue_Position_Taxonomy > Defense_and_National_Security > Domestic_Security_Powers_Expansion_Support,Defense_and_National_Security,Domestic_Security_Powers_Expansion_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,120.0,182.0,62.0,62.0,-62.0,-1,profile_0036,0.62,0.7,0.8,False,True,0.7,0.8,False,True,0.7,0.6,False,True,False,False,profile_panel_repeated_attacked_leaves,6,3,21.0,85.79,75.422,86.306,88.3,70.652,68.319,79.131,42.575,44.604,42.072,40.895,42.587,32.365,40.85,34.591,34.325,41.892,48.91,36.439,34.882,38.507,86.03,99.746,100.0,98.239,86.757,78.724,91.583,17.339,26.231,4.034,5.665,15.552,26.655,15.913,0.7916,0.2084,1.0,0.0,0.0,120.0,0.12,0.7066666666666667,-0.2415608205330089,0.0,1.0,0.0,21.0,-1.31268346548714
scenario_00024,Issue_Position_Taxonomy > Defense_and_National_Security > Strategic_Autonomy_Support,Defense_and_National_Security,Strategic_Autonomy_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,150.0,200.0,50.0,50.0,50.0,1,profile_0036,0.62,0.7,0.8,False,True,0.4,0.3,True,False,0.4,0.3,True,False,False,False,profile_panel_repeated_attacked_leaves,6,4,21.0,85.79,75.422,86.306,88.3,70.652,68.319,79.131,42.575,44.604,42.072,40.895,42.587,32.365,40.85,34.591,34.325,41.892,48.91,36.439,34.882,38.507,86.03,99.746,100.0,98.239,86.757,78.724,91.583,17.339,26.231,4.034,5.665,15.552,26.655,15.913,0.7916,0.2084,1.0,0.0,0.0,150.0,0.15,0.7066666666666667,-0.2415608205330089,0.0,0.0,1.0,21.0,-1.31268346548714
scenario_00025,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Defense_and_National_Security,Alliance_Commitment_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,450.0,475.0,25.0,25.0,-25.0,-1,profile_0039,0.65,0.7,0.8,False,True,0.7,0.6,False,False,0.8,0.9,False,True,False,False,profile_panel_repeated_attacked_leaves,7,1,54.0,91.401,59.064,65.146,85.811,87.466,88.082,79.495,8.371,0.0,0.0,0.0,1.421,4.04,2.305,30.305,19.427,31.917,45.211,18.602,22.403,27.977,44.453,42.738,47.225,43.389,57.018,59.517,49.057,28.797,27.039,28.987,31.96,22.091,35.635,29.085,0.6009,0.3991,1.0,0.0,0.0,450.0,0.45,0.7166666666666668,0.0270888408568109,0.0,0.0,0.0,54.0,0.7570037949560334
scenario_00026,Issue_Position_Taxonomy > Defense_and_National_Security > Civil_Defense_Preparedness_Support,Defense_and_National_Security,Civil_Defense_Preparedness_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,450.0,510.0,60.0,60.0,-60.0,-1,profile_0039,0.62,0.7,0.8,False,True,0.7,0.6,True,False,0.8,0.9,False,True,False,False,profile_panel_repeated_attacked_leaves,7,2,54.0,91.401,59.064,65.146,85.811,87.466,88.082,79.495,8.371,0.0,0.0,0.0,1.421,4.04,2.305,30.305,19.427,31.917,45.211,18.602,22.403,27.977,44.453,42.738,47.225,43.389,57.018,59.517,49.057,28.797,27.039,28.987,31.96,22.091,35.635,29.085,0.6009,0.3991,1.0,0.0,0.0,450.0,0.45,0.7066666666666667,-0.2415608205330089,1.0,0.0,0.0,54.0,0.7570037949560334
