scenario_id,opinion_leaf,opinion_domain,opinion_leaf_label,attack_present,attack_leaf,baseline_score,post_score,delta_score,profile_id,exposure_intensity_hint,attack_realism_score,attack_coherence_score,attack_rewrite_required,attack_heuristic_pass,baseline_plausibility_score,baseline_consistency_score,baseline_rewrite_required,baseline_heuristic_pass,post_plausibility_score,post_consistency_score,post_rewrite_required,post_heuristic_pass,baseline_fallback_used,post_fallback_used,profile_cont_age_years,profile_cont_big_five_agreeableness_altruism_pct,profile_cont_big_five_agreeableness_compliance_pct,profile_cont_big_five_agreeableness_modesty_pct,profile_cont_big_five_agreeableness_straightforwardness_pct,profile_cont_big_five_agreeableness_tender_mindedness_pct,profile_cont_big_five_agreeableness_trust_pct,profile_cont_big_five_agreeableness_mean_pct,profile_cont_big_five_conscientiousness_achievement_striving_pct,profile_cont_big_five_conscientiousness_competence_pct,profile_cont_big_five_conscientiousness_deliberation_pct,profile_cont_big_five_conscientiousness_dutifulness_pct,profile_cont_big_five_conscientiousness_order_pct,profile_cont_big_five_conscientiousness_self_discipline_pct,profile_cont_big_five_conscientiousness_mean_pct,profile_cont_big_five_extraversion_activity_level_pct,profile_cont_big_five_extraversion_assertiveness_pct,profile_cont_big_five_extraversion_excitement_seeking_pct,profile_cont_big_five_extraversion_gregariousness_pct,profile_cont_big_five_extraversion_positive_emotions_pct,profile_cont_big_five_extraversion_warmth_pct,profile_cont_big_five_extraversion_mean_pct,profile_cont_big_five_neuroticism_anger_hostility_pct,profile_cont_big_five_neuroticism_anxiety_pct,profile_cont_big_five_neuroticism_depression_pct,profile_cont_big_five_neuroticism_impulsiveness_pct,profile_cont_big_five_neuroticism_self_consciousness_pct,profile_cont_big_five_neuroticism_stress_vulnerability_pct,profile_cont_big_five_neuroticism_mean_pct,profile_cont_big_five_openness_to_experience_actions_pct,profile_cont_big_five_openness_to_experience_aesthetics_pct,profile_cont_big_five_openness_to_experience_fantasy_pct,profile_cont_big_five_openness_to_experience_feelings_pct,profile_cont_big_five_openness_to_experience_ideas_pct,profile_cont_big_five_openness_to_experience_values_pct,profile_cont_big_five_openness_to_experience_mean_pct,profile_cont_susceptibility_index,profile_cont_resilience_index,profile_cat__profile_cat_sex_Female,profile_cat__profile_cat_sex_Male,profile_cat__profile_cat_sex_Other,primary_moderator_value,primary_moderator_z,attack_x_primary_moderator,moderator_z,attack_x_moderator
scenario_0011,Issue_Position_Taxonomy > Immigration_and_Citizenship > Assimilationism_Support,Immigration_and_Citizenship,Assimilationism_Support,0,CONTROL_NONE,42.0,42.0,0.0,profile_0013,0.0,0.0,0.0,False,True,0.7,0.6,True,True,1.0,1.0,False,True,False,False,18.0,62.143,89.224,46.608,75.65,59.847,59.403,65.479,32.22,46.267,28.735,45.595,36.127,43.856,38.8,43.573,34.755,26.808,24.253,34.616,36.369,33.395,31.597,33.368,20.299,27.77,20.711,20.523,25.711,15.877,39.829,56.676,41.261,58.334,31.357,40.556,0.4831,0.5169,0.0,0.0,1.0,0.4831,-0.0178002397822457,-0.0,-0.0178002397822457,-0.0
scenario_0012,Issue_Position_Taxonomy > Immigration_and_Citizenship > Language_Integration_Requirements_Support,Immigration_and_Citizenship,Language_Integration_Requirements_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,623.0,587.0,-36.0,profile_0019,0.62,0.8,0.9,False,True,0.8,0.9,False,True,0.8,0.9,False,True,False,False,25.0,22.845,26.964,23.049,26.233,26.847,32.64,26.43,9.141,3.316,18.984,10.979,18.36,16.531,12.885,55.661,62.855,45.522,51.525,54.321,69.174,56.51,5.873,19.498,26.588,17.268,23.028,22.614,19.145,42.02,48.977,30.297,50.717,31.666,34.96,39.773,0.5017,0.4983,0.0,0.0,1.0,0.5017,0.1606819488699126,0.1606819488699126,0.1606819488699126,0.1606819488699126
scenario_0013,Issue_Position_Taxonomy > Immigration_and_Citizenship > Deportation_Enforcement_Support,Immigration_and_Citizenship,Deportation_Enforcement_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,217.0,289.0,72.0,profile_0005,0.62,0.8,0.9,False,True,0.8,0.7,False,True,0.8,0.9,False,True,False,False,48.0,60.904,61.033,52.299,50.711,63.665,61.778,58.398,32.355,32.969,54.343,27.754,34.274,27.698,34.899,55.053,51.411,41.168,55.66,46.307,44.305,48.984,44.16,44.123,55.904,66.236,59.06,53.685,53.861,67.605,68.835,63.473,55.146,69.443,55.719,63.37,0.5218,0.4782,0.0,1.0,0.0,0.5218,0.3535578624133735,0.3535578624133735,0.3535578624133735,0.3535578624133735
scenario_0014,Issue_Position_Taxonomy > Immigration_and_Citizenship > Detention_of_Irregular_Migrants_Acceptance,Immigration_and_Citizenship,Detention_of_Irregular_Migrants_Acceptance,0,CONTROL_NONE,-317.0,-317.0,0.0,profile_0012,0.0,0.0,0.0,False,True,0.8,0.9,False,True,1.0,1.0,False,True,False,False,31.0,25.73,25.821,19.07,32.771,25.126,29.231,26.291,65.726,67.05,59.722,55.39,68.988,69.269,64.357,48.885,32.536,50.397,37.728,55.713,32.614,42.979,64.77,68.848,67.49,58.615,72.898,69.404,67.004,98.58,77.897,85.081,59.813,100.0,70.815,82.031,0.5311,0.4689,1.0,0.0,0.0,0.5311,0.4427989567394522,0.0,0.4427989567394522,0.0
scenario_0015,Issue_Position_Taxonomy > Foreign_Policy_and_Geopolitics > Multilateralism_Support,Foreign_Policy_and_Geopolitics,Multilateralism_Support,0,CONTROL_NONE,150.0,150.0,0.0,profile_0009,0.0,0.0,0.0,False,True,0.6,0.5,True,False,1.0,1.0,False,False,False,False,48.0,0.0,2.768,12.254,16.82,1.595,0.0,5.573,53.982,52.534,37.867,53.94,53.266,42.537,49.021,60.294,65.039,74.872,70.335,66.32,58.201,65.843,57.806,49.212,46.915,63.278,67.175,47.336,55.287,9.656,14.032,28.763,30.98,20.505,11.571,19.251,0.537,0.463,1.0,0.0,0.0,0.537,0.4994142746452443,0.0,0.4994142746452443,0.0
scenario_0016,Issue_Position_Taxonomy > Foreign_Policy_and_Geopolitics > Unilateralism_Preference,Foreign_Policy_and_Geopolitics,Unilateralism_Preference,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,187.0,245.0,58.0,profile_0006,0.65,0.7,0.8,False,False,0.8,0.9,False,True,0.7,0.6,False,True,False,False,18.0,83.572,72.612,75.035,97.384,89.32,98.263,86.031,60.563,50.246,57.872,53.293,57.464,68.403,57.974,37.979,41.55,43.644,42.863,30.892,24.381,36.885,51.391,46.054,42.031,36.316,66.761,44.615,47.861,41.364,24.698,23.455,25.442,33.469,28.612,29.507,0.5459,0.4541,0.0,0.0,1.0,0.5459,0.5848170423336426,0.5848170423336426,0.5848170423336426,0.5848170423336426
scenario_0017,Issue_Position_Taxonomy > Foreign_Policy_and_Geopolitics > International_Cooperation_Support,Foreign_Policy_and_Geopolitics,International_Cooperation_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,328.0,275.0,-53.0,profile_0007,0.62,0.7,0.8,False,True,0.8,0.9,False,True,0.4,0.3,True,True,False,False,55.0,52.775,58.877,51.539,51.412,69.024,40.976,54.1,55.046,40.068,45.675,38.871,43.365,41.285,44.052,68.792,77.1,83.494,64.969,80.918,78.99,75.711,76.289,57.782,73.389,62.514,87.216,68.487,70.946,60.876,50.322,52.955,62.297,47.034,49.646,53.855,0.5678,0.4322,0.0,0.0,1.0,0.5678,0.7949654257466664,0.7949654257466664,0.7949654257466664,0.7949654257466664
scenario_0018,Issue_Position_Taxonomy > Foreign_Policy_and_Geopolitics > Non_Interventionism_Support,Foreign_Policy_and_Geopolitics,Non_Interventionism_Support,0,CONTROL_NONE,217.0,217.0,0.0,profile_0002,0.0,0.0,0.0,False,True,0.8,0.9,False,True,1.0,1.0,False,True,False,False,67.0,62.177,47.547,46.799,56.027,57.477,60.544,55.095,36.633,32.82,40.891,33.377,33.294,46.144,37.193,69.899,68.645,73.141,70.435,75.173,63.775,70.178,87.447,86.71,83.084,62.647,58.44,78.351,76.113,15.503,11.469,19.08,11.751,19.66,3.214,13.446,0.6186,0.3814,1.0,0.0,0.0,0.6186,1.2824329087321302,0.0,1.2824329087321302,0.0
scenario_0019,Issue_Position_Taxonomy > Foreign_Policy_and_Geopolitics > Humanitarian_Intervention_Support,Foreign_Policy_and_Geopolitics,Humanitarian_Intervention_Support,0,CONTROL_NONE,423.0,423.0,0.0,profile_0008,0.0,0.0,0.0,False,True,0.8,0.7,False,True,1.0,1.0,False,True,False,False,44.0,77.842,64.597,76.794,70.072,73.59,64.142,71.173,21.584,33.611,31.946,25.339,27.22,46.672,31.062,42.216,30.962,27.334,21.388,44.055,8.52,29.079,86.077,75.001,82.318,87.449,75.671,82.113,81.438,69.672,72.924,63.502,78.758,64.58,77.679,71.186,0.6576,0.3424,0.0,1.0,0.0,0.6576,1.6566697559060088,0.0,1.6566697559060088,0.0
scenario_0020,Issue_Position_Taxonomy > Foreign_Policy_and_Geopolitics > Sanctions_Use_Support,Foreign_Policy_and_Geopolitics,Sanctions_Use_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,17.0,-12.0,-29.0,profile_0017,0.62,0.8,0.9,False,True,0.7,0.8,False,True,0.8,0.9,False,True,False,False,28.0,35.147,30.146,38.102,36.036,45.856,37.775,37.177,43.502,40.416,34.574,25.691,49.903,41.884,39.328,6.685,16.405,0.0,16.476,0.0,5.735,7.55,81.729,85.198,74.827,79.24,79.316,68.037,78.058,33.301,38.551,34.777,36.913,55.001,36.433,39.163,0.6938,0.3062,0.0,1.0,0.0,0.6938,2.004038316616122,2.004038316616122,2.004038316616122,2.004038316616122
